Countries,Year,"Hazardous waste generated, per capita (Kg)"
Algeria,2003,10.14
Algeria,2007,9.57
Andorra,2013,13.68
Andorra,2014,29.06
Andorra,2015,24.92
Andorra,2016,26.51
Andorra,2017,20.69
Andorra,2018,19.3
Andorra,2019,17.08
Andorra,2020,15.04
Andorra,2021,15.13
Argentina,2016,16.77
Argentina,2017,22.77
Argentina,2018,17.56
Argentina,2019,17.24
Armenia,2000,120.43
Armenia,2001,119.85
Armenia,2002,121.71
Armenia,2003,111.57
Armenia,2004,114.62
Armenia,2005,113.65
Armenia,2006,116.4
Armenia,2007,120.58
Armenia,2008,146.56
Armenia,2009,148.78
Armenia,2010,147.78
Armenia,2011,158.04
Armenia,2012,161.44
Armenia,2013,199.58
Armenia,2014,199.46
Armenia,2015,192.83
Armenia,2016,214.76
Armenia,2017,188.58
Armenia,2018,180.1
Armenia,2019,202.27
Austria,2004,124.06
Austria,2006,116.34
Austria,2008,159.83
Austria,2010,176.12
Austria,2012,126.45
Austria,2014,148.87
Austria,2016,144.33
Austria,2018,148.65
Austria,2020,144.49
Azerbaijan,2000,3.24
Azerbaijan,2001,1.98
Azerbaijan,2002,1.17
Azerbaijan,2003,3.17
Azerbaijan,2004,1.31
Azerbaijan,2005,1.48
Azerbaijan,2006,3.37
Azerbaijan,2007,1.18
Azerbaijan,2008,2.7
Azerbaijan,2009,14.46
Azerbaijan,2010,15.15
Azerbaijan,2011,19.84
Azerbaijan,2012,31.31
Azerbaijan,2013,21.1
Azerbaijan,2014,46.87
Azerbaijan,2015,19.44
Azerbaijan,2016,63.01
Azerbaijan,2017,18.59
Azerbaijan,2018,31.44
Azerbaijan,2019,29.02
Azerbaijan,2020,27.57
Azerbaijan,2021,23.78
Bahrain,2000,196.78
Bahrain,2001,191.71
Bahrain,2002,187.08
Bahrain,2003,43.19
Bahrain,2004,39.6
Bahrain,2005,42.36
Bahrain,2006,39.9
Bahrain,2007,33.64
Bahrain,2010,59.67
Bahrain,2011,58.29
Bahrain,2012,62.55
Bahrain,2013,58.57
Bahrain,2014,55.86
Bahrain,2015,55.01
Bahrain,2016,51.39
Bahrain,2017,49.27
Bahrain,2018,54.56
Bahrain,2019,61.89
Bangladesh,2007,0.14
Bangladesh,2012,0.19
Belarus,2000,7.12
Belarus,2001,9.72
Belarus,2002,11.53
Belarus,2003,12.31
Belarus,2004,15.42
Belarus,2005,19.33
Belarus,2006,24.18
Belarus,2007,32.82
Belarus,2008,53.34
Belarus,2009,77.94
Belarus,2010,94.35
Belarus,2011,97.17
Belarus,2012,136.46
Belarus,2013,146.05
Belarus,2014,177.85
Belarus,2015,124.51
Belarus,2016,167.55
Belarus,2017,171.82
Belarus,2018,226.85
Belarus,2019,213.49
Belarus,2020,237.35
Belarus,2021,211.13
Belgium,2004,497.07
Belgium,2006,381.66
Belgium,2008,551.78
Belgium,2010,438.25
Belgium,2012,252.54
Belgium,2014,264.94
Belgium,2016,336.92
Belgium,2018,342.05
Belgium,2020,341.26
Belize,2000,3.22
Benin,2002,0.23
Bermuda,2010,9.17
Bermuda,2011,9.29
Bermuda,2012,8.97
Bermuda,2013,8.91
Bermuda,2014,9.28
Bermuda,2015,9.53
Bermuda,2016,9.51
Bermuda,2017,8.3
Bermuda,2018,23.6
Bermuda,2019,28.21
Bhutan,2017,0.57
Bhutan,2019,0.47
Bosnia and Herzegovina,2008,2.68
Bosnia and Herzegovina,2009,2.48
Bosnia and Herzegovina,2010,2.71
Bosnia and Herzegovina,2012,257.44
Bosnia and Herzegovina,2014,2.44
Bosnia and Herzegovina,2016,3.82
Bosnia and Herzegovina,2018,4.17
Bosnia and Herzegovina,2020,3
Bulgaria,2004,1512.69
Bulgaria,2006,1744.97
Bulgaria,2008,1699.39
Bulgaria,2010,1785.17
Bulgaria,2012,1790.39
Bulgaria,2014,1655.72
Bulgaria,2016,1839.43
Bulgaria,2018,1887.21
Bulgaria,2020,1999.07
Burkina Faso,2004,0.03
Burkina Faso,2005,0.03
Burkina Faso,2006,0.04
Burkina Faso,2007,0.03
Burkina Faso,2008,0.04
Burkina Faso,2009,0.04
Burkina Faso,2010,0
Burkina Faso,2011,0
Cameroon,2004,0.34
Cameroon,2005,0.55
Cameroon,2006,0.57
Cameroon,2007,0.46
Cameroon,2008,0.49
Cameroon,2009,0.45
Cape Verde,2002,0.13
Cape Verde,2014,6.5
China,2000,6.57
China,2001,7.48
China,2002,7.81
China,2003,9.08
China,2004,7.67
China,2005,8.9
China,2006,8.26
China,2007,8.16
China,2008,10.2
China,2009,10.68
China,2010,11.77
China,2011,25.28
China,2012,25.36
China,2013,22.94
China,2014,26.23
China,2015,28.53
China,2016,37.23
China,2017,46.67
China,2018,52.71
China,2019,57.15
China,2020,51.1
Croatia,2004,25.5
Croatia,2006,174.56
Croatia,2008,50.33
Croatia,2010,16.61
Croatia,2012,28.03
Croatia,2014,30.4
Croatia,2016,41.27
Croatia,2018,41.91
Croatia,2020,45.63
Cuba,2004,54.68
Cuba,2005,83.71
Cuba,2006,111.33
Cuba,2007,125.76
Cuba,2010,58.52
Cuba,2011,44.31
Cuba,2012,49.98
Cuba,2013,43.86
Cuba,2014,36.37
Cuba,2015,26.71
Cuba,2016,20.36
Cuba,2017,20.74
Cuba,2018,34.04
Cuba,2019,23.14
Cyprus,2004,109.08
Cyprus,2006,16.07
Cyprus,2008,21.77
Cyprus,2010,33.03
Cyprus,2012,26.86
Cyprus,2014,147.03
Cyprus,2016,132.8
Cyprus,2018,184.02
Cyprus,2020,24.26
Czechia,2004,140.92
Czechia,2006,126.84
Czechia,2008,145.54
Czechia,2010,130.23
Czechia,2012,140.93
Czechia,2014,110.52
Czechia,2016,103.42
